seed,method,scenario,S,eps_wass,sigma,shift_rho,shift_boost,ground_cost,collision,collision_step,min_clearance,min_clearance_step,total_progress,control_effort,constraint_active_count,missed_mode_steps,total_steps,avg_solve_ms,p50_solve_ms,p95_solve_ms,max_solve_ms,total_dro_injected,avg_safe_horizon,clearance_5pct
1687497184,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.2297,12,16.7397,357.5212,395,20,80,7.6900,4.4277,29.1079,39.1817,0,7.0000,1.2620
1687498184,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.3341,14,20.1018,772.5631,610,19,80,3.9386,2.1307,12.9133,19.5149,0,7.0000,1.3719
1687499184,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.9395,19,17.0944,415.3642,295,15,80,5.1595,3.6527,15.5991,16.0669,0,7.0000,0.9659
1687500184,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0833,36,4.6824,165.8402,175,11,80,5.4136,3.6769,14.0830,24.4288,0,7.0000,1.0878
1687501184,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,20,0.1736,44,2.9993,148.5563,172,13,80,7.3213,4.5918,16.1217,19.6663,0,7.0000,0.1889
1687502184,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,20,0.2768,45,2.7199,130.6106,133,15,80,6.5106,4.6130,17.7502,24.8794,0,7.0000,0.2795
1687503184,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.8961,25,19.8849,535.3136,361,11,80,5.8105,4.1489,15.5652,27.1960,0,7.0000,0.9344
1687504184,SHMPC,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1933,48,16.5087,397.4829,333,18,80,6.0287,3.9952,16.1205,17.0136,0,7.0000,1.2087
3157379664,SHMPC_DRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,15,0.3284,22,20.5759,710.5432,525,20,80,4.8518,3.9148,12.0531,16.7704,14,7.0000,0.3626
3157380664,SHMPC_DRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.2706,18,13.0204,292.0157,278,16,80,5.4035,3.7271,13.2570,16.1284,11,7.0000,1.2837
3157381664,SHMPC_DRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.3605,20,6.6925,197.2161,140,18,80,5.1399,3.5448,12.8846,17.9027,7,7.0000,1.3755
3157382664,SHMPC_DRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,21,0.1810,53,2.6317,178.4843,237,28,80,7.7484,5.7110,20.2565,27.5827,27,7.0000,0.1916
3157383664,SHMPC_DRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1361,16,3.6473,135.9025,154,20,80,5.3742,3.4338,13.3398,21.1557,11,7.0000,1.1555
3157384664,SHMPC_DRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.2961,17,8.0339,216.2766,216,20,80,7.6101,4.9158,18.9021,20.8424,7,7.0000,1.3272
3157385664,SHMPC_DRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,15,0.3292,25,20.3100,588.6468,448,21,80,8.3772,5.7051,24.0057,28.5531,14,7.0000,0.3764
3157386664,SHMPC_DRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.9776,34,11.0400,253.9487,243,20,80,6.9287,4.6315,16.0212,23.1863,13,7.0000,0.9859
3157387664,SHMPC_DRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1254,12,20.1094,765.5827,673,19,80,5.0147,3.4981,17.0997,20.6542,6,7.0000,1.1848
3157388664,SHMPC_DRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0654,26,11.2789,220.0119,220,33,80,7.1836,4.4452,16.5042,18.4756,8,7.0000,1.0931
3157389664,SHMPC_DRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1185,15,3.1176,110.8863,151,25,80,5.4991,3.6539,14.3789,18.4118,6,7.0000,1.1857
3157390664,SHMPC_DRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,19,0.7764,24,2.4790,87.5554,135,14,80,6.7191,4.9810,17.3200,22.4330,12,7.0000,0.8033
3157391664,SHMPC_DRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1843,17,20.1987,769.6997,527,16,80,5.1784,3.5392,13.6785,16.2239,6,7.0000,1.2224
3157392664,SHMPC_DRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1253,17,19.2054,513.4201,354,9,80,7.5028,5.6815,20.9803,25.8500,8,7.0000,1.1359
3157393664,SHMPC_DRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.3704,15,20.1009,800.2660,722,21,80,8.2942,4.0392,26.0247,35.1284,7,7.0000,1.4046
3157394664,SHMPC_DRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.2222,30,8.9488,190.8451,187,14,80,10.0130,7.0223,32.4478,36.1175,6,7.0000,1.2244
3157395664,SHMPC_DRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1133,31,2.9899,271.7568,266,12,80,7.8647,5.0514,18.0133,20.4668,12,7.0000,1.1393
3157396664,SHMPC_DRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.3025,13,20.1056,770.1515,503,19,80,3.2046,1.7430,10.7492,13.7698,5,7.0000,1.3717
3157397664,SHMPC_DRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.3405,16,20.1050,788.9884,685,24,80,5.3411,3.8673,17.3772,19.2028,7,7.0000,1.3983
3157398664,SHMPC_DRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1587,14,20.0804,790.0094,565,16,80,5.4105,3.9645,16.9756,20.3639,10,7.0000,1.1732
3157399664,SHMPC_DRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,22,0.0187,60,2.7034,150.8967,189,11,80,9.1360,6.3316,22.9713,35.7218,16,7.0000,0.0254
3157400664,SHMPC_DRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,14,0.5610,19,20.1194,766.8009,455,27,80,6.3776,4.2896,21.3537,26.4385,15,7.0000,0.5982
3157401664,SHMPC_DRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1700,16,20.1008,793.9352,547,15,80,5.3759,4.0288,16.6754,19.5816,9,7.0000,1.2066
3157402664,SHMPC_DRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.3242,15,20.1054,793.5307,805,14,80,4.8226,3.4489,14.0684,15.8195,6,7.0000,1.3668
3157403664,SHMPC_DRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.3679,16,20.1035,798.2665,719,20,80,4.1477,3.4400,10.6983,14.1673,6,7.0000,1.4391
3157404664,SHMPC_DRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.2307,19,14.4740,323.0630,255,21,80,4.7695,3.3277,13.5854,15.4069,6,7.0000,1.2476
3157405664,SHMPC_DRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.9175,25,3.0999,139.2509,197,12,80,8.1879,5.5840,19.1870,21.2833,10,7.0000,0.9467
3157406664,SHMPC_DRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1852,15,20.1131,792.2893,625,27,80,5.0622,3.7765,15.2500,20.2922,10,7.0000,1.2024
3157407664,SHMPC_DRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0786,18,2.1018,76.1945,92,26,80,8.2250,5.5559,25.7709,26.0969,6,7.0000,1.0875
3157408664,SHMPC_DRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.2239,13,20.5294,687.9863,418,21,80,6.2426,5.7148,17.1466,24.5304,5,7.0000,1.2790
2425270209,SHMPC_AdaptiveDRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0818,61,3.2856,148.3786,89,22,80,7.3724,5.0623,18.4419,20.5831,6,7.0000,1.0951
2425271209,SHMPC_AdaptiveDRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,22,0.6507,38,3.7357,149.9858,165,17,80,12.3684,8.7153,26.8403,28.4756,12,7.0000,0.6747
2425272209,SHMPC_AdaptiveDRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0895,12,2.4914,85.6245,104,29,80,8.5513,5.6678,21.7805,22.3667,8,7.0000,1.1682
2425273209,SHMPC_AdaptiveDRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,37,0.5462,46,9.7496,222.3800,294,27,80,8.9202,5.2957,20.5422,39.9467,7,7.0000,0.5682
2425274209,SHMPC_AdaptiveDRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0420,15,4.8778,134.1779,175,16,80,6.2932,4.2191,15.4940,15.8907,7,7.0000,1.0476
2425275209,SHMPC_AdaptiveDRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,20,0.5338,79,2.6264,104.0221,141,8,80,7.6837,5.9265,23.8590,26.4694,13,7.0000,0.5566
2425276209,SHMPC_AdaptiveDRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.2090,13,20.5222,638.8944,431,20,80,5.8611,4.9699,16.6786,19.9075,10,7.0000,1.2554
2425277209,SHMPC_AdaptiveDRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.3114,12,20.1277,763.4410,494,23,80,5.4967,3.6211,16.5146,37.3409,6,7.0000,1.3850
2425278209,SHMPC_AdaptiveDRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1994,11,20.5859,691.0897,447,16,80,4.4090,3.4530,13.1623,16.8512,7,7.0000,1.2376
2425279209,SHMPC_AdaptiveDRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0600,19,14.7935,330.9413,429,24,80,6.7794,4.7326,16.7582,20.8728,9,7.0000,1.0968
2425280209,SHMPC_AdaptiveDRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.9875,26,2.4274,86.7369,92,17,80,6.8061,4.4299,17.7723,31.3711,13,7.0000,1.0006
2425281209,SHMPC_AdaptiveDRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1171,21,20.1707,799.8070,565,18,80,5.5817,3.2406,18.4890,34.5224,16,7.0000,1.1320
2425282209,SHMPC_AdaptiveDRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,16,0.4170,22,20.3166,775.3358,497,11,80,5.1311,4.1738,13.7948,20.4412,14,7.0000,0.4512
2425283209,SHMPC_AdaptiveDRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0264,25,4.5999,159.7749,164,29,80,6.0408,3.8382,15.2027,19.7101,15,7.0000,1.0270
2425284209,SHMPC_AdaptiveDRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.3755,17,20.1014,800.2801,811,22,80,3.8765,3.4867,10.8055,13.2709,6,7.0000,1.4276
2425285209,SHMPC_AdaptiveDRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,19,0.3436,25,20.2749,782.9498,512,13,80,7.2270,5.1895,19.8161,22.6041,12,7.0000,0.3981
2425286209,SHMPC_AdaptiveDRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0269,19,4.7050,162.0008,190,22,80,7.0551,5.0518,19.7426,22.6653,9,7.0000,1.0605
2425287209,SHMPC_AdaptiveDRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.2367,16,3.3711,139.8753,133,25,80,8.5288,5.9080,22.4743,28.5191,10,7.0000,1.2775
2425288209,SHMPC_AdaptiveDRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.3727,17,15.1556,343.4073,285,29,80,8.8313,5.7432,24.0117,38.1892,5,7.0000,1.3930
2425289209,SHMPC_AdaptiveDRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,18,0.5972,23,20.1383,795.7053,438,35,80,6.8083,4.9568,21.3942,31.2099,16,7.0000,0.6316
2425290209,SHMPC_AdaptiveDRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,25,0.6764,36,3.4073,139.8468,143,19,80,13.9465,11.2546,37.9557,44.2406,18,7.0000,0.7215
2425291209,SHMPC_AdaptiveDRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0062,17,17.8964,408.5813,429,17,80,28.0998,20.4487,87.5040,107.9369,10,7.0000,1.0814
2425292209,SHMPC_AdaptiveDRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.8904,43,12.5709,273.3017,301,19,80,13.9921,7.3190,49.1121,65.9659,8,7.0000,0.9202
2425293209,SHMPC_AdaptiveDRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1886,12,18.3725,435.2816,318,25,80,4.6055,3.4558,13.6270,18.6567,6,7.0000,1.2191
2425294209,SHMPC_AdaptiveDRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.2908,13,7.4453,171.6229,171,22,80,5.3200,3.4484,14.0596,19.4174,5,7.0000,1.3132
2425295209,SHMPC_AdaptiveDRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,26,0.7945,31,2.8523,129.2970,150,20,80,7.4628,5.0086,17.0509,18.2557,12,7.0000,0.8149
2425296209,SHMPC_AdaptiveDRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0709,12,20.1116,773.3670,677,30,80,4.2875,3.0825,12.7608,17.8030,8,7.0000,1.1629
2425297209,SHMPC_AdaptiveDRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0973,19,19.8911,585.4818,391,16,80,4.3481,3.3822,12.9435,15.4467,8,7.0000,1.1285
2425298209,SHMPC_AdaptiveDRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,29,0.8322,30,20.4534,611.9267,445,29,80,8.2424,5.6685,26.4374,44.2637,11,7.0000,0.8457
2425299209,SHMPC_AdaptiveDRO,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.2786,14,20.5431,663.9410,363,25,80,5.8740,4.2260,16.6782,23.6374,5,7.0000,1.3215
2441103055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,54,0.8471,54,2.6037,82.6481,165,25,80,10.3669,6.3531,26.4939,48.1402,0,7.0000,0.8617
2441104055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,22,0.3289,51,3.1289,126.7250,217,13,80,10.7615,7.2862,25.0241,28.6022,0,7.0000,0.3438
2441105055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,18,0.7395,25,2.4028,73.7143,122,22,80,11.8529,7.4147,29.0882,31.8358,0,7.0000,0.7414
2441106055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,21,0.0355,31,18.7902,458.9964,335,28,80,8.4551,6.6262,20.9198,26.0952,0,7.0000,0.1945
2441107055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0031,16,7.8183,194.0981,200,14,80,7.7013,5.7002,21.2739,22.1660,0,7.0000,1.0598
2441108055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1103,26,7.6822,187.4576,235,21,80,7.0715,5.2827,18.0093,23.2753,0,7.0000,1.1247
2441109055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1803,13,20.1192,749.3588,630,20,80,5.1426,4.6402,15.9044,18.8633,0,7.0000,1.2714
2441110055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.3609,12,18.0012,423.4104,396,22,80,9.8380,6.8354,28.1781,46.2822,0,7.0000,1.4095
2441111055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1153,16,2.9381,123.6309,135,36,80,14.9029,11.7700,53.4535,62.5417,0,7.0000,1.1401
2441112055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.2652,13,15.2732,306.6493,377,21,80,12.5061,11.1044,31.7783,55.7249,0,7.0000,1.3205
2441113055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.3144,15,19.3427,549.8827,450,24,80,5.9366,4.3777,14.7289,20.9115,0,7.0000,1.3452
2441114055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0629,24,10.2626,267.1508,315,22,80,4.9163,4.0466,11.5708,14.2741,0,7.0000,1.0761
2441115055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.9551,30,3.1012,83.0401,165,14,80,6.7624,4.6063,14.2205,20.1281,0,7.0000,0.9851
2441116055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.3510,16,20.1147,793.7241,571,24,80,3.3850,2.4790,9.9121,14.5847,0,7.0000,1.4620
2441117055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0130,28,20.4571,691.8662,391,27,80,4.4674,3.1549,14.4830,16.8671,0,7.0000,1.0252
2441118055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.2328,16,20.1399,764.8054,672,15,80,5.0882,4.0301,16.0831,17.1484,0,7.0000,1.2412
2441119055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0668,15,17.7959,423.5240,335,20,80,4.9911,3.5928,15.7634,19.1563,0,7.0000,1.1038
2441120055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.9471,42,2.3993,74.0929,84,20,80,6.0184,3.7045,14.7938,19.0093,0,7.0000,0.9693
2441121055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1777,16,20.1590,746.8626,655,20,80,5.0738,4.4795,13.4146,19.4692,0,7.0000,1.2243
2441122055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.9833,47,2.8681,177.2473,290,20,80,9.7282,6.5286,22.1522,24.4680,0,7.0000,1.0102
2441123055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,33,0.8240,34,3.7155,110.8274,174,22,80,9.1201,5.8744,22.2936,22.7167,0,7.0000,0.8483
2441124055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,16,0.7271,34,2.4527,69.6495,111,16,80,10.8479,7.4017,25.1349,26.1821,0,7.0000,0.7440
2441125055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,0.9574,69,3.0810,122.6014,139,14,80,9.2100,6.8093,25.5314,29.2054,0,7.0000,0.9674
2441126055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,15,0.0976,22,20.1074,764.0509,516,5,80,9.0947,6.1436,29.5526,32.2344,0,7.0000,0.2369
2441127055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0585,12,12.4468,256.3487,340,30,80,9.4922,6.2140,24.8313,30.1966,0,7.0000,1.1151
2441128055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1094,11,20.1085,742.4259,606,19,80,5.4307,4.3334,16.1308,23.7375,0,7.0000,1.1475
2441129055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.2426,12,20.1156,746.0911,524,25,80,5.5624,3.7250,17.9090,23.2978,0,7.0000,1.3022
2441130055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.3545,15,20.1123,772.2632,584,28,80,5.2508,3.7294,15.0673,25.6608,0,7.0000,1.4039
2441131055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.2737,11,20.1097,743.1038,613,11,80,5.9206,4.3832,22.9476,27.0447,0,7.0000,1.3391
2441132055,SHMPC_RTA,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,25,0.8218,64,2.2384,69.3707,131,25,80,9.4044,6.0657,25.5742,29.7260,0,7.0000,0.8249
937961351,SHMPC_Conformal,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.2828,12,20.1017,779.0299,577,19,80,4.7402,2.8989,17.3411,23.2796,0,7.0000,1.3195
937962351,SHMPC_Conformal,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1062,15,17.3393,382.1570,382,21,80,8.1305,6.1212,24.1638,27.7087,0,7.0000,1.1227
937963351,SHMPC_Conformal,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.1911,18,20.4984,702.3426,545,18,80,6.2573,5.0946,18.9291,19.7216,0,7.0000,1.1956
937964351,SHMPC_Conformal,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,25,0.1782,43,2.1336,110.9919,110,25,80,11.0537,6.6471,26.8824,28.8791,0,7.0000,0.1943
937965351,SHMPC_Conformal,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.3272,10,20.0933,774.1309,587,29,80,5.4239,4.1997,15.4136,18.1116,0,7.0000,1.4106
937966351,SHMPC_Conformal,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,1,36,0.6005,79,3.0890,139.5062,132,13,80,10.1644,6.9142,27.4559,28.9205,0,7.0000,0.6266
937967351,SHMPC_Conformal,baseline,30,0.1000,1.0000,0.0000,0.0000,w2_bures,0,-1,1.0794,18,14.8860,319.7131,369,30,80,9.0230,5.9143,24.9396,32.0612,0,7.0000,1.1037
